text,intent,or_city,dst_city,str_date,end_date,budget
"hi, i need to get to melbourne from fukuoka. unlimited budget and dates arent a concern and its just me travelling.",BookFlight,Fukuoka,Melbourne,,,
"hello, i'm looking to go from essen to mannheim",BookFlight,Essen,Mannheim,,,
barcelona to anywhere for 0 dollars,BookFlight,Barcelona,,,,0 dollars
hi im from los angeles. looking for a good vacation,BookFlight,Los Angeles,,,,
hiiiii there. i have an interview in burlington!!!! can you get me there?,BookFlight,,Burlington,,,
"hey, i'm looking to go to theed from caprica on august 13th",BookFlight,Caprica,Theed,August 13th,,
"hi there. i really wanna pretend im somewhere else
i dont have any time off and only 2900 dollars though",BookFlight,,,,,2900
hello. do you have five star hotels for me in osaka?,BookFlight,,Osaka,,,
"how much would it cost to get to guadalajara from sydney
no dates in mind",BookFlight,Sydney,Guadalajara,,,
"i want to go to miami from beijing  between september 6th and 9th for 3500 and 5 adults altogether. the only thing i am flexible with is the price, if i need to i can increase it by 200",BookFlight,Beijing,Miami,september 6th,9th,3500
"hi there, i'd like to take my young'uns somewhere nice i also want to impress my wife with my good taste",BookFlight,,,,,
helllllo newlywed young lover here looking to skeedaddle off to sao paulo for 9 days or so after our reception on august 27 in athens. two of us have about 2700 dollars left after the wedding so keep that in mind,BookFlight,Athens,Sao Paulo,august 27,,2700
"hi, have you got any trips out of jerusalem? i don’t have a destination to focus on yet i just want to ensure that you can find me trips leaving jerusalem",BookFlight,Jerusalem,,,,
i wanna go to sao paulo from osaka for 6800,BookFlight,Osaka,Sao Paulo,,,6800
i'd like to take a vacation between august 30th and september 2nd for 5 adults and 1 kid for 2700.,BookFlight,,,august 30th,September 2nd,2700
toronto to san diego,BookFlight,Toronto,San Diego,,,
"hey, what deals can you offer me on trips to curitiba?",BookFlight,,curitiba,,,
"hey, i'm looking to find a vacation from valencia to osaka.",BookFlight,Valencia,Osaka,,,
"hi i have been given access to multiple intership positions
all abroad
so i want to plan a trip to which ever one has the best deal to scope it out",BookFlight,,,,,
hi there. do you fly out of tofino?,BookFlight,Tofino,,,,
"howdy! so how does this work? i'm not too good with technology, i'm more of a pen and paper kind of guy",BookFlight,,,,,
help! my wife is working in berlin and i need to bring the children to see her. they are driving me crazy!,BookFlight,,Berlin,,,
"so, hello there..",BookFlight,,,,,
i sure hope! i want to go to santo domingo!,BookFlight,,Santo Domingo,,,
"san antonio i live in. i go to anywehere
i spend 4 thousand dollars plus more 300 dollars",BookFlight,san antonio,,,,4 thousand dollars plus more 300 dollars
"hi, is there anything from san fran to pittsburgh on or after september 1?",BookFlight,san fran,Pittsburgh,on or after September 1,,
"hi there, i'm looking to go to stuttgart please.",BookFlight,,Stuttgart,,,
"hi there, i'd like to book a trip to punta cana.",BookFlight,,Punta Cana,,,
"pokemon !!!!!! i need to get to curitiba
from punta cana
snap
get me a seat next to mewtwo on the plane :wink:",BookFlight,Punta Cana,Curitiba,,,
"i want you to find me a package from jerusalem to miami between august 31st and september 3rd, if you dont find me a package i will sue",BookFlight,Jerusalem,Miami,August 31st,September 3rd,
"i need a trip under the radar from mannheim to fukuoka
i need to be back here for august 30th",BookFlight,mannheim,fukuoka,,august 30th,
withdraw booking,Cancel,,,,,
i must go to la paz from fort lauderdale.,BookFlight,Fort Lauderdale,La Paz,,,
hey! you can help me by finding a trip to philadelphia from maceio.,BookFlight,Maceio,Philadelphia,,,
"hi yes, to jerusalem please.",BookFlight,,Jerusalem,,,
